Cueanexo,id_depto,Nombre
20029500,2000,INST.MERCEDES PACHECO
20029600,2000,FRAY MAMERTO ESQUIU
20029700,2000,CARLOS N. VERGARA
20029800,2000,PROVINCIA DE FORMOSA
20029900,2000,INSTITUTO POLITECNICO MODELO
20030200,2000,CNEL CARLOS TOMAS SOURIGUES
20030300,2000,INSTITUTO SAN ROBERTO
20030400,2000,ADA MARIA ELFLEIN
20030500,2000,INSTITUTO ESCUELA DE LA NUEVA EXPRESION
20030700,2000,INSTITUTO BETANIA
20030900,2000,JIN D DE 03 (ESC. PRIM. N° 04 DE 03)
20030902,2000,JIN D DE 03 (ESC. PRIM. N° 03 DE 03)
20031100,2000,MARIA SANCHEZ DE THOMPSON
20031700,2000,COLEGIO AULA XXI
20031900,2000,JOSE CLEMENTE PAZ
20032400,2000,JORGE ANGEL BOERO
20032500,2000,DOMINGUITO
20032800,2000,ISLAS MALVINAS
20032900,2000,INTENDENTE ALVEAR
20033000,2000,VICENTE LOPEZ Y PLANES
20033100,2000,INSTITUTO LEOPOLDO MARECHAL
20033300,2000,PRIMERA MINISTRO INDIRA GANDHI
20033400,2000,ESCUELA PARROQUIAL SANTA ELISA
20033500,2000,INSTITUTO AMBROSIO TOGNONI
20033600,2000,JIN C DE 09 (ESC. PRIM. N° 20 DE 09)
20033601,2000,JIN C DE 09 (ESC. PRIM. N° 23 DE 09)
20033602,2000,JIN C DE 09 (ESC. PRIM. N° 01 DE 09)
20034100,2000,IRLANDA
20034200,2000,JIC Nº 01 PABLO NERUDA DE 17
20034400,2000,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°10DE11)
20034401,2000,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°09DE11)
20034402,2000,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°08DE11)
20034403,2000,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°05DE11)
20034900,2000,BELISARIO ROLDAN
20035000,2000,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16
20035100,2000,GRAL MAXIMO DE ZAMUDIO
20035200,2000,ENRIQUE DE VEDIA
20035300,2000,EI Nº 02 DE 14 (HOSP. TORNU)
20035400,2000,INSTITUTO SAN MIGUEL
20035500,2000,ESCUELA ARCO IRIS
20035600,2000,INSTITUTO DE ESTUDIOS SUPERIORES DE BUENOS AIRES
20035800,2000,CAP. DE FRAGATA CARLOS MARIA MOYANO
20036100,2000,INSTITUTO DE TIEMPO LIBRE Y RECREACION
20036200,2000,PONCIANO VIVANCO
20036300,2000,REPUBLICA DE NICARAGUA
20036400,2000,ESC. DE COM. Nº 16 GABRIELA MISTRAL DE 07
20036600,2000,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON
20036601,2000,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON
20036800,2000,ESCUELA DEL PARQUE
20037000,2000,ESCUELA DEL SIGLO NUEVO
20037200,2000,IFTS Nº 16 DE 18
20037900,2000,JIC Nº 03 LA PORTENA DE 07
20038000,2000,TOMAS SANTA COLOMA
20038100,2000,JIC N° 02 DE 13
20038200,2000,JIC N° 03 DE 08
20038300,2000,COLEGIO Nº 16 GUILLERMO RAWSON DE 15
20038600,2000,PROVINCIA DE JUJUY
20038700,2000,INSTITUTO SANTA MARIA DE LOS ANGELES
